"season","name","team","pa","h_swing","h_contact","h_zone","s_swing","s_contact","s_zone","c_swing","c_contact","c_zone","w_swing","w_contact","w_zone","avg","nameascii","playerid","mlbamid","last_name_first","player_id","year","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","wobacon","xwobacon","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_conta","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_p","exit_velocity_av","launch_angle_avg","barrel_batted_ra","z_swing_percent","oz_swing_percent","iz_contact_perce","whiff_percent","groundballs_perc","flyballs_percent","linedrives_perce"
"2026","A.J. Ewing","NYM","275","0.70138889","0.89108911","0.26158038","0.49559471","0.75111111","0.41235241","0.23770492","0.46551724","0.22161671","0.06956522","0","0.1044505","0.272727272","A.J. Ewing","33656","805999","Ewing, A.J.","805999","2026","26.2","9.8","0.273","0.417","0.344","0.761","0.335","0.321","0.416","0.393","70.1","10.8","13.9","10.5","32.9","24.9","6.5","13","8.4","-1.4","39.6","37.2","89.4","11.4","6.3","65","28","85.1","25","46.3","25.1","23.4"
"2023","Aaron Hicks","- - -","312","0.68299712","0.87763713","0.2562777","0.43803056","0.74806202","0.43500739","0.14965986","0.45454545","0.21713442","0.03225806","0.25","0.0915805","0.252788104","Aaron Hicks","5297","543305","Hicks, Aaron","543305","2023","22.1","13.5","0.253","0.383","0.353","0.736","0.326","0.282","0.363","0.295","66.6","1.7","10","7.3","34.6","25.4","7.2","4","10.6","-1.5","43.1","29","85.3","12.6","4","61.3","20.8","80.8","25.6","47.8","23.4","17.9"
"2023","Aaron Judge","NYY","458","0.77070064","0.79889807","0.24776433","0.45419355","0.60227273","0.40768017","0.13569937","0.30769231","0.25197265","0.02840909","0","0.09258285","0.267029972","Aaron Judge","15640","592450","Judge, Aaron","592450","2023","28.4","19.2","0.267","0.613","0.406","1.019","0.42","0.466","0.557","0.643","76.3","66.9","28.2","18.9","38.2","25.7","8.1","2","16","-5.4","52.5","42.2","97.6","20.4","27.6","67","19.4","72.4","36.6","30.4","40.8","22.5"
"2024","Aaron Judge","NYY","704","0.78319783","0.85467128","0.25607217","0.44679054","0.64461248","0.41082582","0.14141414","0.28571429","0.24045802","0.02247191","0","0.092644","0.322003577","Aaron Judge","15640","592450","Judge, Aaron","592450","2024","24.3","18.9","0.322","0.701","0.458","1.159","0.476","0.48","0.617","0.625","77","73.5","25.4","18.2","33.5","24","8.2","14","14.2","-4.3","50.8","39.8","96.2","19","27.1","67.4","18.8","77.4","30.7","31.5","38.7","25.9"
"2025","Aaron Judge","NYY","679","0.7515528","0.85743802","0.24477385","0.48324515","0.61131387","0.43101482","0.18357488","0.23684211","0.23603193","0.01293103","0","0.0881794","0.330868761","Aaron Judge","15640","592450","Judge, Aaron","592450","2025","23.6","18.3","0.331","0.688","0.457","1.145","0.463","0.46","0.597","0.592","76.9","71.2","25.3","17","34.4","23.2","8.1","35","13.9","-5.8","50.6","38.4","95.4","19","24.8","67.1","22.5","75.4","34.6","33.5","38.4","22.4"
"2026","Aaron Judge","NYY","261","0.71755725","0.85106383","0.23518851","0.49471459","0.65811966","0.42459605","0.19924812","0.35849057","0.23877917","0.02654867","0.33333333","0.10143627","0.247663551","Aaron Judge","15640","592450","Judge, Aaron","592450","2026","27.6","16.1","0.248","0.533","0.375","0.908","0.385","0.415","0.492","0.546","76.1","64.4","20.8","14.5","31.7","22.1","8.1","12","12.1","-5.1","50.7","38.5","94.1","14.6","21.7","64.1","25.8","78.4","32.2","38.5","32.2","22.4"
"2024","Abraham Toro","OAK","364","0.66846361","0.94758065","0.2661406","0.54237288","0.865625","0.42324247","0.29903537","0.56989247","0.223099","0.04098361","0.2","0.08751793","0.240356083","Abraham Toro","19844","647351","Toro, Abraham","647351","2024","17","5.5","0.24","0.35","0.293","0.643","0.283","0.297","0.311","0.329","69.5","10.6","10.6","8.8","36.3","29.9","7.6","4","9.4","-3","55.8","31.9","87.2","12.2","4.3","65.7","30.9","90.5","17.4","44.8","25.6","22"
"2025","Abraham Toro","BOS","284","0.68259386","0.905","0.26515837","0.58874459","0.82720588","0.41809955","0.26666667","0.55882353","0.23076923","0.06315789","0","0.08597285","0.239382239","Abraham Toro","19844","647351","Toro, Abraham","647351","2025","14.8","4.9","0.239","0.371","0.289","0.66","0.286","0.302","0.304","0.325","69.5","6","11.5","9.3","32.9","26.6","7.6","6","11.2","-2.7","53.4","31.9","86.3","13.4","4.5","65.6","34.9","86.5","20.4","43.2","25.7","22.5"
"2025","Adael Amador","COL","128","0.72222222","0.91208791","0.27937916","0.49489796","0.79381443","0.4345898","0.21505376","0.5","0.20620843","0.08333333","0","0.07982262","0.17699115","Adael Amador","27962","691182","Amador, Adael","691182","2025","21.1","8.6","0.177","0.265","0.256","0.521","0.238","0.269","0.249","0.294","70.6","12","8.1","6.5","30.4","24.5","7.3","4","5.2","-7.7","40.3","29.9","84.8","15.2","3.4","66.8","27","87.6","20.7","40.4","28.1","23.6"
"2023","Adam Duvall","BOS","353","0.65317919","0.83185841","0.25898204","0.56228374","0.74461538","0.43263473","0.30136986","0.36363636","0.21856287","0.05","0","0.08982036","0.246875","Adam Duvall","10950","594807","Duvall, Adam","594807","2023","31.2","6.2","0.247","0.531","0.303","0.834","0.347","0.305","0.481","0.411","72.1","21.7","15.8","11.1","32.8","23.1","7.6","5","16.8","-10.5","57.7","31.3","88.8","28.9","13.1","63.9","34.1","78.8","31","20.9","40","22.3"
